cpu_percent,num_handles,pid,name,memory_percent,num_threads,nice,read_count,write_count,read_bytes,write_bytes,cpu_times_user,cpu_times_system,voluntary_ctx_switches,involuntary_ctx_switches,memory_rss,memory_vms,label
0.0,3156,4,System,0.0032432442744814,111,,228,1177,486964,42959972,0.0,145.484375,1526116,0,0.1328125,0.19140625,benign
0.0,0,92,Registry,0.6628618959815249,4,,86,2491,675840,65220608,0.0,0.6875,4829,0,27.14453125,3.30078125,benign
0.0,257,212,msedge.exe,0.5731003412083756,9,32.0,88,66,44275,46336,0.265625,0.453125,3954,0,23.46875,8.78515625,benign
0.0,53,316,smss.exe,0.0234658262212484,2,,22,37,16804,32062,0.015625,0.203125,923,0,0.9609375,1.0703125,benign
0.0,285,404,svchost.exe,0.2807314088176181,4,,0,0,0,0,0.046875,0.171875,66,0,11.49609375,2.0546875,benign
0.0,538,416,csrss.exe,0.1106518634823095,10,,247,0,189331,0,0.109375,0.640625,13206,0,4.53125,1.6875,benign
0.0,165,492,wininit.exe,0.1430843062271244,1,,2,0,9732,0,0.015625,0.046875,392,0,5.859375,1.32421875,benign
0.0,598,500,csrss.exe,1.116534536258994,12,,150339,0,3957639,0,0.171875,24.359375,952785,0,45.72265625,3.67578125,benign
0.0,991,504,dwm.exe,1.188172078910041,15,,2,0,109516,0,29.828125,33.09375,910731,0,48.65625,66.453125,benign
0.0,283,556,winlogon.exe,0.231987355162911,5,,3,0,9872,0,0.0625,0.28125,946,0,9.5,3.66796875,benign
0.0,652,636,services.exe,0.2081399707917236,5,,54,35,413812,24084,0.65625,2.359375,1200,0,8.5234375,4.78515625,benign
0.0,1411,652,lsass.exe,0.425151168569529,9,,1885,1256,140058,197917,2.21875,3.0,20527,0,17.41015625,7.7578125,benign
0.0,768,708,powershell.exe,2.01901495040221,9,32.0,162,161,485418,1562,0.75,1.03125,20232,0,82.6796875,65.84765625,benign
0.0,1411,780,svchost.exe,0.640349965135124,12,,38,8,299008,98304,3.859375,11.609375,20447,0,26.22265625,9.9296875,benign
0.0,216,800,svchost.exe,0.211383215066205,1,,0,0,0,0,0.03125,0.09375,49,0,8.65625,2.08984375,benign
