timestamp,pid,process_name,is_keylogger,cpu_percent,memory_rss_mb,num_threads,num_handles,read_bytes,write_bytes
2025-11-11T15:07:50.700200,176,Registry,0,0.0,5.3984375,4,0,16384,1763315712
2025-11-11T15:07:50.761944,560,svchost.exe,0,0.0,0.28125,2,199,8192,0
2025-11-11T15:07:50.824426,576,csrss.exe,0,0.0,1.078125,15,1067,3649972,0
2025-11-11T15:07:50.886523,588,smss.exe,0,0.0,0.00390625,2,58,2798962,93678
2025-11-11T15:07:50.949158,648,wininit.exe,0,0.0,0.41796875,2,158,36868,0
2025-11-11T15:07:51.011537,660,svchost.exe,0,0.0,1.6171875,4,343,0,0
2025-11-11T15:07:51.074747,944,svchost.exe,0,0.0,0.96875,3,224,0,0
2025-11-11T15:07:51.136116,952,csrss.exe,0,0.0,1.0390625,16,900,708224,0
2025-11-11T15:07:51.198095,1068,winlogon.exe,0,0.0,0.5,4,302,302384,430940
2025-11-11T15:07:51.262181,1112,services.exe,0,0.0,4.7734375,10,848,8372,160
2025-11-11T15:07:51.323453,1136,lsass.exe,0,0.0,6.74609375,10,1935,27806583,10208874
2025-11-11T15:07:51.386190,1156,svchost.exe,0,0.0,1.9375,8,253,0,0
2025-11-11T15:07:51.447737,1276,svchost.exe,0,0.0,24.0703125,19,1871,516908142,7618560
2025-11-11T15:07:51.510254,1304,fontdrvhost.exe,0,0.0,0.00390625,5,43,0,0
2025-11-11T15:07:51.572402,1308,fontdrvhost.exe,0,0.0,0.1953125,5,43,0,0
2025-11-11T15:07:51.637783,1352,WUDFHost.exe,0,0.0,0.00390625,7,299,0,0
2025-11-11T15:07:51.691874,1428,backgroundTaskHost.exe,0,0.0,3.296875,9,468,1270973,8032
2025-11-11T15:07:51.754797,1460,svchost.exe,0,0.0,13.08984375,10,1646,6712410,71343
2025-11-11T15:07:51.816698,1508,svchost.exe,0,0.0,1.453125,5,375,0,0
2025-11-11T15:07:51.879594,1568,WUDFHost.exe,0,0.0,0.00390625,6,357,0,0
2025-11-11T15:07:51.942420,1692,svchost.exe,0,0.0,2.046875,4,170,0,0
2025-11-11T15:07:52.006697,1708,svchost.exe,0,0.0,1.55078125,5,598,0,0
2025-11-11T15:07:52.060889,1716,AcWebBrowser.exe,0,0.0,1.50390625,24,783,1970397,926132
2025-11-11T15:07:52.123218,1720,svchost.exe,0,0.0,0.484375,4,352,0,0
2025-11-11T15:07:52.185686,1732,svchost.exe,0,0.0,2.234375,8,325,0,0
2025-11-11T15:07:52.247940,1784,AggregatorHost.exe,0,0.0,3.46875,4,242,687842978,430511
2025-11-11T15:07:52.302453,1788,svchost.exe,0,0.0,11.984375,9,598,15205271,208773392
2025-11-11T15:07:52.364779,1884,svchost.exe,0,0.0,4.1875,10,950,8085,0
2025-11-11T15:07:52.426088,1912,svchost.exe,0,0.0,1.23828125,5,263,0,0
2025-11-11T15:07:52.488352,2004,svchost.exe,0,0.0,7.63671875,12,1208,116,160
2025-11-11T15:07:52.542566,2136,msedge.exe,0,0.0,3.47265625,21,351,2607613,680174
2025-11-11T15:07:52.606146,2156,svchost.exe,0,0.0,2.5,8,370,6,162596992
2025-11-11T15:07:52.667527,2184,svchost.exe,0,0.0,3.31640625,7,331,0,0
2025-11-11T15:07:52.729061,2192,svchost.exe,0,0.0,1.58203125,3,362,0,0
2025-11-11T15:07:52.782951,2220,AutodeskDesktopApp.exe,0,0.0,1.59375,12,377,46604,4495
2025-11-11T15:07:52.846035,2224,IntelCpHDCPSvc.exe,0,0.0,0.00390625,3,160,1893,5529
2025-11-11T15:07:52.900523,2316,chrome.exe,0,0.0,0.55859375,8,322,448492,2379136
2025-11-11T15:07:52.963176,2324,svchost.exe,0,0.0,0.5078125,11,425,0,0
2025-11-11T15:07:53.025803,2332,SearchFilterHost.exe,0,0.0,10.12890625,7,197,4803,0
2025-11-11T15:07:53.087998,2384,svchost.exe,0,0.0,0.4375,6,123,0,0
2025-11-11T15:07:53.141977,2428,dllhost.exe,0,0.0,0.00390625,2,131,0,0
2025-11-11T15:07:53.204718,2468,svchost.exe,0,0.0,0.42578125,2,153,0,0
2025-11-11T15:07:53.258811,2496,chrome.exe,0,0.0,0.92578125,11,209,2553692,6937820
2025-11-11T15:07:53.323682,2528,svchost.exe,0,0.0,1.38671875,4,191,0,0
2025-11-11T15:07:53.378077,2636,msedgewebview2.exe,0,0.0,1.0859375,19,296,1307061,16207797
2025-11-11T15:07:53.441351,2684,svchost.exe,0,0.0,1.1015625,6,348,0,0
